model,systems_evaluated,overall_score_mean,phase1_mean,phase2_mean,phase3b_mean,phase3_final_mean,audit_bugs_total,total_gen_tokens_in,total_gen_tokens_out,total_tv_cost_usd
claude,1,0.0,0.0,0.0,0.0,0.0,0,,,
claude_opus_proxy,11,0.695,1.0,0.6667,0.5133,0.6,1,296837,32822,19.45
claude_sonnet,11,0.6921,1.0,0.7697,0.5561,0.4424,4,111474,45063,3.18
deepseek_r1_openrouter,11,0.5736,0.8505,0.5455,0.4667,0.4318,1,208344,78244,20.0
deepseek_tencent,2,0.0,0.0,0.0,0.0,0.0,0,,,0.82
deepseek_v32_ds,11,0.3822,0.7019,0.3636,0.2208,0.2424,1,217694,30519,13.28
deepseek_v32_openrouter,11,0.0883,0.1715,0.0909,0.0909,0.0,0,77382,9462,0.82
gemini31_google,11,0.8931,1.0,0.9242,0.8057,0.8424,6,213351,26621,38.36
glm51_openrouter,3,0.2865,0.4792,0.3333,0.3333,0.0,0,39976,38230,
gpt52,11,0.3949,0.7562,0.3,0.2506,0.2727,0,218145,37137,11.36
gpt54_azure,11,0.6968,1.0,0.748,0.4027,0.6364,2,206686,32497,25.89
grok420_reasoning_xai,11,0.6541,0.9545,0.6455,0.5104,0.5061,3,189695,16346,24.87
kimi_k25_ds,11,0.6033,1.0,0.6482,0.3255,0.4394,2,197746,29062,17.03
minimax_m27_ds,11,0.3675,0.814,0.3182,0.1558,0.1818,3,197567,60072,14.67
qwen36_plus_ds,11,0.5782,0.953,0.6061,0.3416,0.4121,8,206900,107726,17.76
