model,n_systems,overall_mean,p1_mean,p2_mean,p3_mean,p4_mean,n_p1_fail,n_p2_fail,n_no_p3,n_no_p4,repairs
gemini31_google,11,0.8655,1.0,0.9242,0.8424,0.8057,0,2,0,0,0
claude_opus_proxy,11,0.8282,1.0,0.6667,0.8576,0.7945,0,4,0,0,4
gpt54_azure,11,0.7983,1.0,0.748,0.8831,0.6485,0,5,0,0,3
claude_sonnet,11,0.7804,1.0,0.7697,0.6818,0.7895,0,4,0,0,3
grok420_reasoning_xai,11,0.7084,0.9545,0.6455,0.6576,0.6808,1,4,0,0,3
deepseek_r1_openrouter,11,0.6779,0.8505,0.5455,0.6747,0.664,3,5,0,0,5
qwen36_plus_ds,11,0.6742,0.953,0.6061,0.7091,0.5491,1,6,0,0,5
gpt52,11,0.6653,0.7562,0.3,0.6894,0.7589,5,8,0,0,8
kimi_k25_ds,11,0.6207,1.0,0.6482,0.5667,0.5003,0,5,0,0,2
deepseek_v32_ds,11,0.5378,0.7019,0.3636,0.65,0.4299,6,7,0,0,7
minimax_m27_ds,11,0.3909,0.814,0.3182,0.4455,0.1861,4,9,0,0,7
