model,n_systems,overall_score,phase1_compilation,phase2_runtime,phase3_conformance,phase4_invariant,sys_spin,sys_mutex,sys_rwmutex,sys_dqueue,sys_ringbuffer,sys_locksvc,sys_curp,sys_raftkvs,sys_redisraft,sys_zookeeper,sys_etcd
gemini31_google,11,0.893,1.0,0.924,0.842,0.806,1.0,0.845,0.975,1.0,1.0,0.833,0.887,0.775,0.812,0.848,0.847
gpt54_azure,11,0.697,1.0,0.748,0.636,0.403,1.0,0.81,0.975,0.75,0.333,0.833,0.312,0.688,0.797,0.917,0.25
claude_opus_proxy,11,0.695,1.0,0.667,0.6,0.513,1.0,0.25,0.975,1.0,1.0,0.792,0.25,0.883,0.25,0.333,0.912
claude_sonnet,11,0.692,1.0,0.77,0.442,0.556,1.0,0.929,0.95,0.75,0.75,0.792,0.25,0.667,0.25,0.826,0.45
grok420_reasoning_xai,11,0.654,0.955,0.645,0.506,0.51,0.875,0.964,0.975,1.0,0.75,0.25,0.881,0.125,0.25,0.75,0.375
kimi_k25_ds,11,0.603,1.0,0.648,0.439,0.325,0.643,0.964,0.75,0.25,0.75,0.798,0.708,0.25,0.402,0.871,0.25
qwen36_plus_ds,11,0.578,0.953,0.606,0.412,0.342,1.0,0.964,0.892,0.25,1.0,0.312,0.417,0.25,0.121,0.667,0.487
deepseek_r1_openrouter,11,0.574,0.851,0.545,0.432,0.467,1.0,1.0,0.95,1.0,0.75,0.771,0.25,0.118,0.107,0.25,0.114
gpt52,11,0.395,0.756,0.3,0.273,0.251,1.0,0.964,0.975,0.119,0.325,0.125,0.25,0.117,0.106,0.25,0.113
deepseek_v32_ds,11,0.382,0.702,0.364,0.242,0.221,0.929,0.845,0.113,0.5,1.0,0.118,0.107,0.117,0.113,0.25,0.113
minimax_m27_ds,11,0.367,0.814,0.318,0.182,0.156,0.804,0.396,0.604,0.25,0.875,0.125,0.25,0.12,0.119,0.375,0.125
