model,n_systems,overall_score,phase1_compilation,phase2_runtime,phase3_conformance,phase4_invariant,sys_spin,sys_mutex,sys_rwmutex,sys_dqueue,sys_ringbuffer,sys_locksvc,sys_curp,sys_raftkvs,sys_redisraft,sys_zookeeper,sys_etcd
gemini31_google,11,0.866,1.0,0.924,0.842,0.806,1.0,0.783,0.965,1.0,1.0,0.767,0.842,0.785,0.737,0.788,0.853
claude_opus_proxy,11,0.828,1.0,0.667,0.858,0.794,1.0,0.583,0.965,1.0,1.0,0.708,0.625,0.837,0.828,0.688,0.876
gpt54_azure,11,0.798,1.0,0.748,0.883,0.648,1.0,0.733,0.965,0.65,0.9,0.767,0.738,0.612,0.736,0.883,0.796
claude_sonnet,11,0.78,1.0,0.77,0.682,0.789,1.0,0.9,0.93,0.65,0.65,0.708,0.85,0.6,0.748,0.756,0.792
grok420_reasoning_xai,11,0.708,0.955,0.645,0.658,0.681,0.825,0.95,0.965,1.0,0.65,0.617,0.833,0.425,0.573,0.65,0.305
deepseek_r1_openrouter,11,0.678,0.851,0.545,0.675,0.664,1.0,1.0,0.93,1.0,0.65,0.679,0.733,0.271,0.575,0.341,0.278
qwen36_plus_ds,11,0.674,0.953,0.606,0.709,0.549,1.0,0.95,0.848,0.15,1.0,0.596,0.692,0.71,0.605,0.533,0.332
gpt52,11,0.665,0.756,0.3,0.689,0.759,1.0,0.95,0.965,0.421,0.37,0.629,0.625,0.653,0.562,0.585,0.558
kimi_k25_ds,11,0.621,1.0,0.648,0.567,0.5,0.5,0.95,0.65,0.5,0.65,0.745,0.592,0.57,0.308,0.82,0.543
deepseek_v32_ds,11,0.538,0.702,0.364,0.65,0.43,0.9,0.783,0.511,0.3,1.0,0.45,0.414,0.583,0.382,0.383,0.207
minimax_m27_ds,11,0.391,0.814,0.318,0.446,0.186,0.725,0.304,0.496,0.15,0.825,0.367,0.442,0.247,0.304,0.225,0.215
